Role,Divisi,Perusahaan,Lokasi,Kriteria,Slot
Creative Marketing Intern,Belajar Birdsama Bluebird,Bluebird Group,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta","Jurusan: Design Komunikasi Visual
Jenjang: D3/S1
Semester: Bebas

Kriteria hard skills: Memiliki kemampuan design tools Adobe Marketing Creative

Kriteria lain: WFO 60%",3
Knowledge Management Specialist,KNOWLEDGE MANAGEMENT SYSTEM DEVELOPMENT,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya 4 (empat) mahasiswa yang memiliki kualifikasi sebagai berikut: 
1. Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
2. Mahasiswa dari jurusan Teknik Informatika (TI), DKV, Ilmu Komunikasi, Komunikasi;
3. Mahasiswa familiar & memahami dasar Bahasa Pemrograman PHP/HTML/CSS/Java Script atau framework lainnya;
4. Terbiasa menggunakan database MySQI / AJAX / web service berbasis RESTful API;
5. Familiar dengan Front End framework: Bootstrap atau Wordpress ;
6. Pernah membuat website / aplikasi berbasis website;
7. Memiliki kemampuan design atau video (nilai tambah); 
8. Mampu berkomunikasi dengan baik.
",4
Marketing Research Development Specialist,MARKETING RESEARCH DEVELOPMENT,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 2 mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Manajemen Pemasaran, Statistika, atau Marketing;
- Mampu mengoprasikan MS Power Point / Excel
- Mampu membuat Analisa Permasalahan
- Mampu berkomunikasi dengan baik
- Memahami prinsip pembelajaran individu
- Terbiasa dengan tekanan dan Target
- Memahami dasar statistik
- Memahami Proses Marketing
- Penempatan di : Alam Sutera, Tangerang
",2
Google Sites Development Specialist, GOOGLE SITES DEVELOPMENT,Alfamidi,Kota Tangerang,"Required Qualifications :
- 2 (dua) Mahasiswa dari jurusan DKV, Multimedia
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mampu mengoperasikan aplikasi ArcGis
- Mampu mengoperasikan Microsoft Powerpoint;
- Mampu mengolah via Microsoft Excel & Spreadsheet;
- Mampu berkomunikasi dengan baik;
- Terbiasa dengan Data Tata Ruang, Statistik,& Pemetaan;
- Memahami Program Google Sites
- Memahami prinsip pembelajaran individu.
 - Penempatan di Alam Sutera (Tangerang)
- Siap Mobile ke lapangan ",2
Space Development Specialist,PENGEMBANGAN SISTEM PENGELOLAAN TENANT ,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 2 mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa jurusan Statistika; Manajemen; Matematika;
- Mampu mengoprasikan MS Power Point / Excel
- Mampu membuat Analisa Permasalahan
- Mampu berkomunikasi dengan baik
- Terbiasa dengan operasional Teknologi Digital
- Memahami prinsip pembelajaran individu
- Tebiasa dengan tekanan dan Target
- Berani mengutarakan pendapat dan gagasan/ide

Penempatan di : Alam Sutera, Tangerang
",2
Strategis Planner,LAWSON STRATEGIC PLANNING,Alfamidi,Kota Tangerang,"- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Statistik, Ekonomi Manajemen
- Mempunyai rasa ingin tahu yang tinggi;
- Mampu mengoperasikan Microsoft Excel;
- Mampu berkomunikasi dengan baik;
- Memahami prinsip pembelajaran individu;
- Mampu bekerja sama dalam tim;
- Mampu mengoperasikan Microsoft Powerpoint.
- Penempatan di HO Alam Sutera, Tangerang",2
Pendampingan Literasi Berbasis Proyek Bercerita/Storytelling,Magang Pendamping Klub Literasi Sekolah,SEAMEO QITEP in Language,Sekolah Mitra Jenjang SMA/SMK/SMP Sederajat di Indonesia,"Kriteria mahasiswa yang dibutuhkan untuk posisi ini adalah
1.  Mahasiswa jenjang D3/D4/S1;
2. Jurusan/program studi bahasa/sastra/komunikasi/seni/budaya (jurusan selain ini tetap bisa mendaftar dengan menunjukkan portofolio karya/pengalaman kepenulisan cerita/partisipasi dalam komunitas menulis);
3. Memiliki motivasi mengajar/mendampingi aktivitas literasi siswa;
4. Bersedia untuk berkoordinasi dan berkolaborasi dengan pembina literasi di sekolah
5. Memahami dasar-dasar penulisan fiksi/cerita;
6. Menguasai Google Workspace;
7. Menguasai software desain sederhana, seperti Canva, dsb. (Opsional);
8. Menguasai/mau mempelajari platform publikasi digital berbasis audio/audio-visual, seperti Spotify, YouTube, Instagram, Google Playbook; dan
9. Bersedia mengiukti semua kegiatan pengembangan kompetensi yang diselenggarakan oleh SEAQIL.

Kriteria lainnya:
KLS mendorong kemampuan 6C siswa untuk berpikir kritis, komunikatif, kolaboratif, kreatif,  computational skills, dan compasion dalam memberikan solusi atas permasalahan di lingkungannya. Aktivitas ini dimulai dari kegiatan membaca, berdiskusi, dan mengaktualisasikan hasil membaca melalui karya. Oleh karena itu, mahasiswa harus memiliki kemauan dan kemampuan berpikir kritis, komunikatif, kolaboratif, dan kreatif serta peka terhadap isu-isu yang dapat dijadikan proyek karya.
",16
Talent Management Specialist,MONITORING PEMENUHAN KARYAWAN,Alfamidi,Kota Tangerang,"2 Mahasiswa dari jurusan Manajemen SDM, Teknik Industri (Konsentrasi Manajemen SDM)
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Manajemen SDM, Teknik Industri;
- Mempunyai rasa ingin tahu yang tinggi;
- Mampu mengoperasikan aplikasi GDS;
- Mampu mengoperasikan Microsoft Excel
- Memahami proses pengembangan SDM;
- Mampu berkomunikasi dengan baik;
- Mampu bekerja sama dalam tim;
- Penempatan di Head Office, Alam Sutera, Tangerang",2
9. Social Media Specialist,SOCIAL MEDIA MANAGEMENT ALFAKARIR,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 12 (dua belas) mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 8;
- Mahasiswa dari jurusan Ilmu Komunikasi , Digital Media/, Digital Advertising atau Marketing;
- Memahami karakteristik sosial media yang common digunakan oleh masyarakat (instagram tiktok, facebook, dll)
- Memahami trend di sosial media dan teknologi (technology savvy)
- Memahami dan mampu menyusun konten management
- Komunikasi Efektif
- Mampu mengoperasikan aplikasi design seperti Adobe Photoshop/ Coreldraw
- Mampu mengoperasikan aplikasi editing video
- Mampu menggunakan kamera dan trik-trik dasar  
- Mampu menyusun caption yang kreatif dan menarik
- Memahami proofreading

Siap ditempatkan di lokasi : Tangerang, Bekasi, Pasuruan, Medan, Yogyakarta, Samarinda, Makassar, Palu, Kendari, Manado, Ambon
",12
2. Pendamping Literasi Berbasis Proyek Jurnalistik,Magang Pendamping Klub Literasi Sekolah,SEAMEO QITEP in Language,Sekolah Mitra Jenjang SMA/SMK/SMP Sederajat di Indonesia,"Kriteria mahasiswa yang dibutuhkan untuk posisi ini adalah
1.  Mahasiswa jenjang D3/D4/S1;
2. Jurusan/program studi bahasa/sastra/komunikasi/seni/budaya/hubungan internasional/hubungan masyarakat (jurusan selain ini tetap bisa mendaftar dengan menunjukkan portofolio karya/pengalaman kepenulisan cerita/partisipasi dalam komunitas menulis);
3. Memiliki motivasi mengajar/mendampingi aktivitas literasi siswa;
4. Bersedia untuk berkoordinasi dan berkolaborasi dengan pembina literasi di sekolah
5. Memahami dasar-dasar jurnalistik;
6. Menguasai Google Workspace;
7. Menguasai software desain sederhana, seperti Canva, dsb. (Opsional);
8. Menguasai/mau mempelajari platform publikasi digital berbasis audio/audio-visual, seperti Spotify, YouTube, Instagram, Google Playbook; dan
9. Bersedia mengiukti semua kegiatan pengembangan kompetensi yang diselenggarakan oleh SEAQIL.

Kriteria lainnya:
KLS mendorong kemampuan 6C siswa untuk berpikir kritis, komunikatif, kolaboratif, kreatif,  computational skills, dan compasion dalam memberikan solusi atas permasalahan di lingkungannya. Aktivitas ini dimulai dari kegiatan membaca, berdiskusi, dan mengaktualisasikan hasil membaca melalui karya. Oleh karena itu, mahasiswa harus memiliki kemauan dan kemampuan berpikir kritis, komunikatif, kolaboratif, dan kreatif serta peka terhadap isu-isu yang dapat dijadikan proyek karya.",16
8. Social Media Specialist,SOCIAL MEDIA MANAGEMENT GEMA BUDAYA,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 12 (dua belas) mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Ilmu Komunikasi , Digital Media/, Digital Advertising atau Marketing, Desain Komunikasi Visual;;
- Memahami karakteristik sosial media yang common digunakan oleh masyarakat (instagram tiktok, facebook, dll)
- Memahami trend di sosial media dan teknologi (technology savvy)
- Memahami dan mampu menyusun konten management
- Komunikasi Efektif
- Mampu mengoperasikan aplikasi design seperti Adobe Photoshop/ Coreldraw
- Mampu mengoperasikan aplikasi editing video
- Mampu menggunakan kamera dan trik-trik dasar  
- Mampu menyusun caption yang kreatif dan menarik
- Mampu melaksanakan copywriting;
- Penempatan di : Tangerang, Bekasi, Pasuruan, Yogyakarta, Medan, Samarinda, Makassar, Palu, Kendari, Manado, Ambon",12
7. Learning Operation Specialist,LAWSON OPTIMALISASI LEARNING & DEVELOPMENT,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 2 (dua) mahasiswa untuk Development Program, yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Statistik, Teknologi Pendidikan, Ekonomi Manajemen
- Mempunyai rasa ingin tahu yang tinggi;
- Mampu mengoperasikan Microsoft Excel;
- Mampu berkomunikasi dengan baik;
- Memahami prinsip pembelajaran individu;
- Mampu bekerja sama dalam tim;
- Mampu mengoperasikan Microsoft Powerpoint.",2
Lawson Fix Asset Specialist,LAWSON FIX ASSET DEVELOPMENT,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya 2 (dua) mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Statistika atau Matematika;
- Mampu mengoperasikan Microsoft Powerpoint
- Mampu menganalisa masalah;
- Mampu berkomunikasi dengan baik;
- Terbiasa dengan target yang harus dicapai; dan
- Memahami prinsip pembelajaran individu.
- Penempatan di HO Alam Sutera, Tangerang",2
Digital Business Specialist,DIGITAL BUSINESS DEVELOPMENT,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 3 mahasiswa yang memiliki kualifikasi sebagai berikut: 
1. Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
2. Mahasiswa dari jurusan Multi Media atau Desain Komunikasi Visual;
3. Mampu mengoperasikan aplikasi Design Grafis
4. Mampu mengoperasikan Microsoft Powerpoint, Excel
5. Mampu melakukan analisa masalah;
6. Mampu berkomunikasi dengan baik; 
7. Memahami prinsip pembelajaran individu; dan
8. Mempunyai kemampuan membangun jaringan yang baik.",3
Digital Marketing Specialist,OPTIMIZING DIGITAL MARKETING MEMBER,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 3 mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Desain Komunikasi Visual, Marketing Communication;
- Mampu mengoprasikan MS Power Point / Excel
- Mampu membuat Analisa Permasalahan
- Mampu berkomunikasi dengan baik
- Memahami prinsip pembelajaran individu
- Terbiasa dengan tekanan dan Target
- Memahami teknik promosi
- Memahami Proses Marketing
- Penempatan di Jabodetabek (2 orang) dan Pasuruan (1 orang)",3
Promotion Designer,MARKETING PROMOTION DEVELOPMENT,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 2 mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Desain Komunikasi Visual, Marketing Communication;
- Mampu mengoprasikan MS Power Point / Excel
- Mampu membuat Analisa Permasalahan
- Mampu berkomunikasi dengan baik
- Memahami prinsip pembelajaran individu
- Terbiasa dengan tekanan dan Target
- Memahami teknik promosi
- Memahami Proses Marketing",2
1. Business Development Specialist,OPTIMIZING QUALITY ON PREPAID TRANSACTION,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 2 mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Ilmu Komunikasi; Management; Marketing;
- Mampu mengoprasikan MS Power Point / Excel
- Mampu membuat Analisa Permasalahan
- Mampu berkomunikasi dengan baik
- Terbiasa dengan operasional Teknologi Digital
- Memahami prinsip pembelajaran individu
- Tebiasa dengan tekanan dan Target
- Berani mengutarakan pendapat dan gagasan/ide
Siap ditempatkan di Alam Sutera, Tangerang
",2
Promotion Social Media Specialist,OPTIMIZING SOCIAL MEDIA AS MARKETING TOOLS DURING NEW NORMAL ERA,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 2 mahasiswa yang memiliki kualifikasi sebagai berikut: 
1. Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
2. Mahasiswa dari jurusan Ilmu Komunikasi , Digital Media/, Digital Advertising atau Marketing;
3. Memiliki minat tinggi dalam social media atau Social Media Fluency 
4. Mampu menggunakan fitur-fitur pada platform sosial media 
5. Mempunyai kemampuan komunikasi yang baik meliputi menulis, story telling, video/photo editing dan proofreading
6. Mampu mengoperasikan aplikasi Adobe (Premier, Photoshop, after effect), Corel Draw.
7. Mampu membuat konten dan mengelola distribusinya di channel komunikasi
8. Mampu mengoperasikan Microsoft Powerpoint
9. Memahami tools analytic sosial media 
 
Penempatan di : Alam Sutera, Tangerang",2
3. Learning Design Specialist,DIGITAL LEARNING DEVELOPMENT,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya 3 (tiga) mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Teknologi Pendidikan atau Desain Komunikasi Visual;
- Mampu mengoperasikan aplikasi Adobe (Premier, Photoshop, after effect)
- Mampu mengoperasikan Microsoft Powerpoint
- Mampu menulis script/storyboard/storyline;
- Mampu berkomunikasi dengan baik;
- Terbiasa dengan operasional e-learning/e-book; dan
- Memahami prinsip pembelajaran individu.
- Penempatan di Alam Sutera (Tangerang)
",3
4. Learning Design Specialist,PENGEMBANGAN MODUL PEMBELAJARAN,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya 4 (empat) mahasiswa yang memiliki kualifikasi sebagai berikut: 
1. Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
2. Mahasiswa dari jurusan Teknologi Pendidikan atau Desain Komunikasi Visual;
3. Mampu mengoperasikan aplikasi Adobe (Premier, Photoshop, after effect)
4. Mampu mengoperasikan Microsoft Powerpoint
5. Mampu menulis script/storyboard/storyline;
6. Mampu berkomunikasi dengan baik;
7. Terbiasa dengan operasional e-learning/e-book; dan
8. Memahami prinsip pembelajaran individu.
9. Penempatan di Alam Sutera (Tangerang)",4
Lawson Learning Design Specialist,LAWSON DIGITAL LEARNING DEVELOPMENT,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya 2 (dua) mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Teknologi Pendidikan atau Desain Komunikasi Visual;
- Mampu mengoperasikan aplikasi Adobe (Premier, Photoshop, after effect)
- Mampu mengoperasikan Microsoft Powerpoint
- Mampu menulis script/storyboard/storyline;
- Mampu berkomunikasi dengan baik;
- Terbiasa dengan operasional e-learning/e-book; dan
- Memahami prinsip pembelajaran individu.
- Penempatan di HO Alam Sutera",2
Recruitment & Selection Specialist,RECRUITMENT BUSINESS PROCESS DEVELOPMENT,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 12 mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Psikologi;
- Mampu mengoperasikan aplikasi pembuatan Desain;
- Mampu mengoperasikan Microsoft Excel;
- Memahami administrasi alat tes psikologi;
- Mampu berkomunikasi dengan baik;

Penempatan di lokasi berikut : Kota Tangerang, Kab. Tangerang, Bekasi, Pasuruan, Yogyakarta, Samarinda, Medan, Makasar, Kendari, Palu, Manado, dan Ambon",12
5. Learning Operation Specialist,OPTIMALISASI LEARNING & DEVELOPMENT,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 14 (empat belas) mahasiswa,  yang memiliki kualifikasi sebagai berikut: 
1. Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
2. Mahasiswa dari jurusan Statistik, Teknologi Pendidikan, Ekonomi Manajemen, Manajemen SDM
3. Mempunyai rasa ingin tahu yang tinggi;
4. Mampu mengoperasikan Microsoft Excel;
5. Mampu berkomunikasi dengan baik;
6. Memahami prinsip pembelajaran individu;
7. Mampu bekerja sama dalam tim;
8.Mampu mengoperasikan Microsoft Powerpoint.
Siap ditempatkan di wilayah berikut :
1. Tangerang
2. Kab. Tangerang
3. Bekasi
4. Yogyakarta
5. Jawa Timur
6. Sulawesi Selatan
7. Sulawesi Tenggara
8. Sulawesi Utara
9. Sulawesi Tengah
10. Maluku
11. Sumatera Utara
12. Kalimantan Timur",14
Planogram Specialist,Planogram Space Development,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 2 mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Jurusan Manajemen, Matematika
- Mampu mengoprasikan MS Power Point / Excel
- Mampu membuat Analisa Permasalahan
- Mampu berkomunikasi dengan baik
- Terbiasa dengan operasional Teknologi Digital
- Memahami prinsip pembelajaran individu
- Tebiasa dengan tekanan dan Target
- Berani mengutarakan pendapat dan gagasan/ide
- Penempatan di HO Alam Sutera, Tangerang",2
2. Business Development Specialist,EXCELLENT HANDLING COMPLAIN,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 2 mahasiswa yang memiliki kualifikasi sebagai berikut: 
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
- Mahasiswa dari jurusan Ilmu Komunikasi; Management; Marketing; Statistika
- Mampu mengoprasikan MS Power Point / Excel
- Mampu membuat Analisa Permasalahan
- Mampu berkomunikasi dengan baik
- Terbiasa dengan operasional Teknologi Digital
- Memahami prinsip pembelajaran individu
- Tebiasa dengan tekanan dan Target
- Berani mengutarakan pendapat dan gagasan/ide
- Siap ditempatkan di HO Alam Sutera, Tangerang",2
6. Learning Operation Specialist,PENGEMBANGAN VOKASI ALFA CLASS,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 2 (dua) mahasiswa yang memiliki kualifikasi sebagai berikut: 
1. Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
2. Mahasiswa dari jurusan Teknologi Pendidikan atau Ilmu Pendidikan;
3. Mampu menganalisa kebutuhan pembelajaran;
4. Mampu mengoperasikan Microsoft Powerpoint, Excel;
5. Mampu mendesain kurikulum pendidikan;
6. Mampu berkomunikasi dengan baik;
7. Terbiasa dengan operasional e-learning/e-book; dan
8. Memahami prinsip pembelajaran individu;
9. Bersedia melakukan mobilisasi sesuai kebutuhan project;
10. Penempatan di Head Office, Alam Sutera, Tangerang
",2
Lawson Recruitment & Selection Specialist,LAWSON RECRUITMENT BUSINESS PROCESS DEVELOPMENT,Alfamidi,Kota Tangerang,"Pengembangan project ini setidaknya membutuhkan 2 (dua) orang mahasiswa yang memiliki kualifikasi sebagai berikut: 
1. Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 6/8;
2. Mahasiswa dari jurusan Psikologi;
3. Mampu mengoperasikan aplikasi pembuatan Desain;
4. Mampu mengoperasikan Microsoft Excel;
5. Memahami administrasi alat tes psikologi;
6. Mampu berkomunikasi dengan baik;
7. Penempatan : 
      - 2 orang di HO Alam Sutera, Tangerang
      - 2 orang di Cabang Yogya/Boyolali
      - 2 orang di Cabang Pasuruan, Jawa Timur",6
HR Administrator,ARCHIVE MANAGEMENT OF EMPLOYMENT,Alfamidi,Kota Tangerang,"Program magang di HR Administration ini akan membutuhkan :
- 2 Mahasiswa dari jurusan Manajemen, Manajemen SDM, Tata Kelola Arsip
- Mahasiswa perguruan tinggi aktif yang menempuh minimal semester 7;
- Mempunyai rasa ingin tahu yang tinggi;
- Memahami Tata Kelola Arsip
- Mampu mengoperasikan Microsoft Excel
- Memahami proses pengembangan SDM;
- Mampu berkomunikasi dengan baik;
- Mampu bekerja sama dalam tim;
- Penempatan di HO Alam Sutera, Tangerang",2
Magang Publikasi Literasi,Magang Pengembang Publikasi Karya Literasi,SEAMEO QITEP in Language,Kota Jakarta Selatan,"Kriteria mahasiswa yang dibutuhkan untuk posisi ini adalah
1.  Mahasiswa jenjang D3/D4/S1;
2. Jurusan/program studi bahasa/sastra/komunikasi/seni kepenulisan/budaya/hubungan internasional/desain grafis/multimedia/DKV/hubungan masyarakat (jurusan selain ini tetap bisa mendaftar dengan menunjukkan portofolio karya/pengalaman kepenulisan cerita/partisipasi dalam komunitas menulis);
3. Memiliki motivasi mengajar/mendampingi aktivitas literasi siswa;
4. Bersedia untuk berkoordinasi dan berkolaborasi dengan pembina literasi di sekolah
5. Memahami dasar-dasar publikasi dan media;
6. Menguasai Google Workspace;
7. Menguasai software desain sederhana, seperti Canva, dsb. (Opsional/non-jurusan desain)/atau software desain berat, seperti Adobe/Corel Draw bagi jurusan desain;
8. Menguasai/mau mempelajari platform publikasi digital berbasis audio/audio-visual, seperti Spotify, YouTube, Instagram, Google Playbook; dan
9. Bersedia mengiukti semua kegiatan pengembangan kompetensi yang diselenggarakan oleh SEAQIL;
10. Memiliki akun media sosial Instagram, Facebook, Twitter, TikTok, dll.

Kriteria lainnya:Kriteria lainnya:
KLS mendorong kemampuan 6C siswa untuk berpikir kritis, komunikatif, kolaboratif, kreatif,  computational skills, dan compasion dalam memberikan solusi atas permasalahan di lingkungannya. Aktivitas ini dimulai dari kegiatan membaca, berdiskusi, dan mengaktualisasikan hasil membaca melalui karya. Oleh karena itu, mahasiswa harus memiliki kemauan dan kemampuan berpikir kritis, komunikatif, kolaboratif, dan kreatif dalam melakukan publikasi dan promosi karya literasi.
",12
1. Pendamping Literasi Berbasis Proyek Cerita Pendek,Magang Pendamping Klub Literasi Sekolah,SEAMEO QITEP in Language,Sekolah Mitra Jenjang SMA/SMK/SMP Sederajat di Indonesia,"Kriteria mahasiswa yang dibutuhkan untuk posisi ini adalah
1.  Mahasiswa jenjang D3/D4/S1;
2. Jurusan/program studi bahasa/sastra/komunikasi/seni/budaya (jurusan selain ini tetap bisa mendaftar dengan menunjukkan portofolio karya/pengalaman kepenulisan cerita/partisipasi dalam komunitas menulis);
3. Memiliki motivasi mengajar/mendampingi aktivitas literasi siswa;
4. Bersedia untuk berkoordinasi dan berkolaborasi dengan pembina literasi di sekolah
5. Memahami dasar-dasar penulisan fiksi;
6. Menguasai Google Workspace;
7. Menguasai software desain sederhana, seperti Canva, dsb. (Opsional);
8. Menguasai/mau mempelajari platform publikasi digital berbasis audio/audio-visual, seperti Spotify, YouTube, Instagram, Google Playbook; dan
9. Bersedia mengiukti semua kegiatan pengembangan kompetensi yang diselenggarakan oleh SEAQIL.

Kriteria lainnya:
KLS mendorong kemampuan 6C siswa untuk berpikir kritis, komunikatif, kolaboratif, kreatif,  computational skills, dan compasion dalam memberikan solusi atas permasalahan di lingkungannya. Aktivitas ini dimulai dari kegiatan membaca, berdiskusi, dan mengaktualisasikan hasil membaca melalui karya. Oleh karena itu, mahasiswa harus memiliki kemauan dan kemampuan berpikir kritis, komunikatif, kolaboratif, dan kreatif serta peka terhadap isu-isu yang dapat dijadikan proyek karya.




",16
Learning Specialist,Learning Specialist for Business Learning,BTPN Syariah,Kota Jakarta Selatan,"Jurusan 		: Semua jurusan (diutamakan Teknologi 
  Pendidikan)
Jenjang		: D3/D4/S1
Semester		: Minimal semester 6
Kriteria Hardskill	: Basic knowledge untuk desain modul dan 
  video
Kriteria Softskill	: 
a. Profesional
b. Integritas
c. Saling menghargai
d. Kerjasama
e. Memiliki semangat belajar dan tangguh 
f. untuk tumbuh bersama
",5
6. Fasilitator Pendamping Access to Market (A2M) - Jawa Timur,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & Tangguh
- Memiliki kemampuan Analitis
- Memiliki pengalaman dan kemampuan berjualan di Media Sosial
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Jawa Timur",30
7. Fasilitator Pendamping Access to Market (A2M)  - Sumatera Bagian Utara,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & Tangguh
- Memiliki kemampuan Analitis
- Memiliki pengalaman dan kemampuan berjualan di Media Sosial
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Aceh dan Sumatera Utara
",43
11. Fasilitator Pendamping Access to Market (A2M) - Jawa Tengah & Yogya,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & Tangguh
- Memiliki kemampuan Analitis
- Memiliki pengalaman dan kemampuan berjualan di Media Sosial
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Jawa Tengah dan DIY Yogyakarta",17
13. Fasilitator Pendamping Access to Market (A2M) - Sulawesi Selatan,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & Tangguh
- Memiliki kemampuan Analitis
- Memiliki pengalaman dan kemampuan berjualan di Media Sosial
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Sulawesi Selatan (Makassar)",9
